song_id,comment_n,comment_len,comment_len_mean,comment_len_stdev,words_clean_unique_n,words_clean_total_n,bsm_n_words,bsm_v_mean,bsm_v_std,bsm_a_mean,bsm_a_std,bsm_d_mean,bsm_d_std,emo_n_words,emo_v_total,emo_v_mean,emo_v_std,emo_a_total,emo_a_mean,emo_a_std,emo_d_total,emo_d_mean,emo_d_std,aff_n_words,aff_anger,aff_fear,aff_sadness,aff_joy,aff_anger_wt,aff_fear_wt,aff_sadness_wt,aff_joy_wt,lex_n_words,lex_joy,lex_trust,lex_anticipation,lex_surprise,lex_positive,lex_negative,lex_sadness,lex_fear,lex_disgust,hssent_n_words,hssent_uniq_avg,hssent_uniq_std,hssent_dupl_avg,anew_n_words,anew_v_total,anew_v_mean,anew_v_std,anew_a_total,anew_a_mean,anew_a_std,anew_d_total,anew_d_mean,anew_d_std,mpqa_n_words,mpqa_pos,mpqa_neu,mpqa_neg,song_valence,song_arousal
1834,6.000000,97.000000,16.166667,31.827137,57,70,30.000000,6.138333,1.704444,3.983611,2.360000,5.934444,2.115278,32.000000,0.663132,0.461816,0.567395,0.678844,0.175100,0.486375,0.157900,0.580219,0.118889,6.000000,0.667000,0.000000,0.000000,0.451400,0.111167,0.000000,0.000000,0.376167,15.000000,0.133333,0.266667,0.066667,0.066667,0.333333,0.066667,0.000000,0.000000,0.000000,79.000000,0.503696,1.095660,0.442957,30.000000,6.138333,3.983611,5.934444,6.152000,1.005946,4.027000,0.828460,5.870333,0.804511,12.000000,0.583333,0.416667,0.000000,1.541257,1.704165,
1196,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.330708,-0.096545,
671,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,-1.040199,-0.065816,
1294,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.301012,-0.222533,
1659,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.048386,0.335195,
1284,3.000000,19.000000,6.333333,4.163332,18,20,8.000000,6.246667,1.524444,4.206667,2.322222,5.944444,2.127778,9.000000,0.633900,0.383400,0.499200,0.633778,0.174530,0.387222,0.085432,0.504333,0.069771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.000000,0.358526,0.854879,0.411826,8.000000,6.246667,4.206667,5.944444,6.253750,0.869136,4.028750,0.811620,5.955000,0.657702,2.000000,1.000000,0.000000,0.000000,0.815393,0.662457,
1817,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,-1.495911,0.040198,
55,7.000000,114.000000,16.285714,10.028531,57,71,37.000000,5.622340,1.752340,4.719149,2.473617,5.165957,2.190851,39.000000,0.534980,0.505531,0.457592,0.573744,0.286151,0.487077,0.207632,0.482692,0.164669,18.000000,0.422000,0.593857,0.539556,0.579800,0.030143,0.148464,0.173429,0.207071,31.000000,0.138889,0.111111,0.083333,0.027778,0.194444,0.138889,0.083333,0.111111,0.055556,96.000000,0.236417,1.335922,0.077556,37.000000,5.622340,4.719149,5.165957,5.831622,1.719213,4.567297,1.095533,5.327027,1.075226,21.000000,0.444444,0.222222,0.333333,0.029495,-1.491634,
2249,154.000000,4059.000000,26.357143,39.707374,1000,2493,625.000000,5.836461,1.645574,4.118708,2.367360,5.691280,2.117484,676.000000,0.617527,0.466490,0.530504,0.583004,0.215224,0.459389,0.173577,0.507577,0.169491,197.000000,0.509082,0.427452,0.328146,0.545864,0.063798,0.067780,0.068818,0.276422,491.000000,0.121013,0.110694,0.112570,0.125704,0.211069,0.125704,0.060976,0.044090,0.043152,1353.000000,0.136160,1.230910,0.238132,625.000000,5.836461,4.118708,5.691280,5.638432,1.254359,4.149584,0.890659,5.549088,0.891719,249.000000,0.535433,0.225197,0.239370,1.178325,1.183311,
3436,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,-0.767318,0.911361,
3375,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,-0.341624,-0.093472,
437,84.000000,1945.000000,23.154762,26.507782,515,1012,338.000000,6.050504,1.641973,4.195504,2.376142,5.749481,2.150326,360.000000,0.633169,0.449562,0.535947,0.620294,0.218781,0.474289,0.176995,0.549028,0.172104,112.000000,0.377529,0.449211,0.361333,0.571087,0.030274,0.080519,0.051132,0.342113,307.000000,0.148342,0.120419,0.134380,0.061082,0.267016,0.116928,0.045375,0.057592,0.019197,758.000000,0.223819,1.281891,0.294783,338.000000,6.050504,4.195504,5.749481,5.877988,1.291580,4.226391,0.948766,5.664911,0.952089,165.000000,0.494083,0.266272,0.239645,0.569800,-1.517754,
2449,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.040199,-0.065816,
344,5.000000,2214.000000,442.800000,501.231683,507,1531,278.000000,6.005174,1.627512,4.047778,2.334282,5.779016,2.087766,297.000000,0.627467,0.456459,0.538976,0.637067,0.170803,0.455249,0.165339,0.549764,0.154718,49.000000,0.520300,0.377438,0.227697,0.542266,0.070311,0.040804,0.050770,0.289453,173.000000,0.108216,0.174349,0.138277,0.028056,0.290581,0.104208,0.066132,0.030060,0.020040,616.000000,0.295588,1.186517,0.364180,278.000000,6.005174,4.047778,5.779016,5.906151,0.952194,4.003669,0.802508,5.769101,0.742617,77.000000,0.680328,0.176230,0.143443,0.373325,-0.923151,
393,320.000000,5905.000000,18.453125,36.687928,1509,3312,955.000000,5.427108,1.660643,4.278197,2.383369,5.329237,2.177907,1019.000000,0.544126,0.481739,0.505436,0.521478,0.235270,0.490202,0.184886,0.498598,0.174185,361.000000,0.455793,0.510369,0.545269,0.488636,0.094103,0.172478,0.137732,0.099193,855.000000,0.061235,0.086032,0.070850,0.046559,0.146761,0.189777,0.103239,0.129049,0.078441,1898.000000,0.040780,1.252663,0.029795,955.000000,5.427108,4.278197,5.329237,5.226136,1.443467,4.263979,0.946031,5.287571,1.037571,360.000000,0.347319,0.230769,0.421911,1.541257,1.704165,
1265,2.000000,61.000000,30.500000,2.121320,22,27,16.000000,6.238095,1.584762,4.458571,2.567619,5.974762,2.058095,17.000000,0.666909,0.493864,0.512091,0.651706,0.253751,0.482235,0.164876,0.496412,0.163502,7.000000,0.000000,0.000000,0.694500,0.725857,0.000000,0.000000,0.154333,0.564556,20.000000,0.269231,0.192308,0.038462,0.076923,0.307692,0.076923,0.038462,0.000000,0.000000,37.000000,0.713297,1.501464,0.823638,16.000000,6.238095,4.458571,5.974762,6.144375,1.635135,4.283750,0.755318,5.822500,0.900737,10.000000,0.666667,0.166667,0.166667,-1.040199,-0.065816,
1842,19.000000,698.000000,36.736842,57.259489,228,587,127.000000,5.887533,1.680267,4.204500,2.421067,5.768400,2.170367,134.000000,0.599012,0.468455,0.526636,0.595978,0.206028,0.480037,0.173393,0.536821,0.158453,37.000000,0.678375,0.403077,0.268469,0.476468,0.054270,0.052400,0.085910,0.223940,93.000000,0.163717,0.053097,0.097345,0.030973,0.247788,0.176991,0.137168,0.039823,0.017699,303.000000,0.280624,1.291318,0.342594,127.000000,5.887533,4.204500,5.768400,5.823228,1.248187,4.190315,0.980133,5.723150,0.865639,40.000000,0.506494,0.285714,0.207792,0.995494,0.542615,
2311,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.575257,-0.342376,
2412,33.000000,531.000000,16.090909,17.037392,145,305,94.000000,6.023077,1.659795,4.181282,2.413231,5.771538,2.135026,100.000000,0.639423,0.456831,0.540531,0.618570,0.215659,0.448710,0.166604,0.527540,0.181025,38.000000,0.427286,0.402500,0.380364,0.566118,0.053411,0.028750,0.074714,0.343714,124.000000,0.116667,0.144444,0.188889,0.061111,0.233333,0.083333,0.055556,0.022222,0.055556,230.000000,0.242765,1.316454,0.269899,94.000000,6.023077,4.181282,5.771538,5.794574,1.310643,4.132340,0.875201,5.720532,0.897839,57.000000,0.500000,0.255556,0.244444,0.815393,0.275274,
792,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.575257,1.280107,
818,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.040199,-0.065816,
907,160.000000,3338.000000,20.862500,24.428174,845,2126,515.000000,5.936349,1.685654,4.170771,2.377816,5.725563,2.125669,557.000000,0.616207,0.451515,0.520773,0.584436,0.222227,0.466472,0.177422,0.523792,0.167659,171.000000,0.560787,0.331551,0.332731,0.537344,0.092205,0.069706,0.046636,0.260706,474.000000,0.119617,0.114833,0.146411,0.046890,0.242105,0.107177,0.045933,0.071770,0.047847,1153.000000,0.215905,1.240794,0.253235,515.000000,5.936349,4.170771,5.725563,5.622544,1.297370,4.191961,0.883239,5.591515,0.879283,232.000000,0.506718,0.224568,0.268714,0.373325,-0.923151,
452,75.000000,3352.000000,44.693333,166.037034,919,1891,543.000000,6.033997,1.657393,4.186492,2.370798,5.752753,2.133268,579.000000,0.634291,0.463393,0.545489,0.600986,0.213685,0.472499,0.172781,0.539007,0.166586,184.000000,0.503333,0.508810,0.253486,0.535708,0.063624,0.060028,0.052691,0.293435,503.000000,0.134515,0.131387,0.120959,0.065693,0.267987,0.100104,0.068822,0.036496,0.027112,1184.000000,0.301589,1.258340,0.391683,543.000000,6.033997,4.186492,5.752753,5.791289,1.229934,4.184438,0.938439,5.639521,0.913618,217.000000,0.519737,0.258772,0.221491,0.032224,-0.512921,
1408,30.000000,940.000000,31.333333,53.943350,327,541,203.000000,6.350559,1.642570,4.136341,2.405978,5.951648,2.116145,215.000000,0.677215,0.459890,0.531484,0.640284,0.204371,0.449874,0.174408,0.526098,0.153067,53.000000,0.640800,0.349636,0.187810,0.590150,0.033031,0.039649,0.040660,0.365041,148.000000,0.192623,0.139344,0.102459,0.036885,0.286885,0.081967,0.073770,0.040984,0.024590,470.000000,0.390864,1.287707,0.537240,203.000000,6.350559,4.136341,5.951648,6.051724,1.140084,4.049261,0.888764,5.836158,0.825309,71.000000,0.666667,0.243902,0.089431,1.069718,0.881861,
594,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.071901,0.846830,
193,20.000000,1046.000000,52.300000,41.593395,348,667,189.000000,5.589211,1.707289,4.129711,2.366632,5.508921,2.154289,208.000000,0.561371,0.451945,0.488173,0.565529,0.224726,0.457139,0.169141,0.505437,0.156485,76.000000,0.556667,0.472333,0.468848,0.384958,0.074459,0.126357,0.137369,0.117694,193.000000,0.088889,0.083333,0.102778,0.086111,0.163889,0.144444,0.102778,0.108333,0.061111,498.000000,0.126283,1.202475,0.137380,189.000000,5.589211,4.129711,5.508921,5.578095,1.370015,4.133439,0.832661,5.493175,0.985221,98.000000,0.314136,0.277487,0.408377,-0.736392,1.737966,
2464,8.000000,658.000000,82.250000,196.438104,289,419,170.000000,5.939675,1.664959,4.133537,2.413699,5.700854,2.162886,185.000000,0.635235,0.450614,0.516250,0.618319,0.181337,0.440438,0.166390,0.519162,0.155992,39.000000,0.460167,0.636400,0.136900,0.512861,0.048439,0.055825,0.024018,0.323912,99.000000,0.146667,0.126667,0.113333,0.046667,0.286667,0.120000,0.066667,0.033333,0.020000,410.000000,0.335678,1.131119,0.432166,170.000000,5.939675,4.133537,5.700854,5.802294,1.042651,4.078235,0.869988,5.631941,0.796013,54.000000,0.541667,0.222222,0.236111,-1.700572,1.842444,
1140,26.000000,656.000000,25.230769,35.004351,256,454,151.000000,6.152218,1.730195,4.119883,2.395447,5.836420,2.161362,163.000000,0.652649,0.453395,0.535986,0.647104,0.187597,0.456294,0.167974,0.536270,0.160025,45.000000,0.397429,0.340375,0.233200,0.567400,0.042800,0.041892,0.053815,0.305523,129.000000,0.138462,0.153846,0.138462,0.061538,0.287179,0.066667,0.061538,0.041026,0.015385,396.000000,0.318927,1.201309,0.447095,151.000000,6.152218,4.119883,5.836420,6.059272,1.012429,4.078609,0.890689,5.783775,0.784883,68.000000,0.556701,0.278351,0.164948,1.178325,1.183311,
209,1.000000,3.000000,3.000000,0.000000,2,2,2.000000,5.085000,1.625000,3.675000,2.450000,4.510000,2.350000,2.000000,0.339000,0.332500,0.380500,0.339000,0.199404,0.332500,0.023335,0.380500,0.116673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.197667,0.258748,0.197667,2.000000,5.085000,3.675000,4.510000,5.085000,0.502046,3.675000,0.388909,4.510000,0.141421,0.000000,0.000000,0.000000,0.000000,0.129551,0.219962,
3088,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.178325,1.183311,
925,1.000000,34.000000,34.000000,0.000000,20,21,12.000000,5.908462,1.634615,3.846923,2.230000,5.659231,2.048462,13.000000,0.571143,0.354929,0.453929,0.561077,0.237708,0.361538,0.172327,0.453154,0.112045,2.000000,0.000000,0.188000,0.000000,0.281000,0.000000,0.094000,0.000000,0.140500,2.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,31.000000,0.090742,1.142325,0.095469,12.000000,5.908462,3.846923,5.659231,5.856667,1.136624,3.870000,1.113414,5.660833,0.867362,4.000000,0.500000,0.000000,0.500000,0.373325,-0.923151,
1229,3.000000,19.000000,6.333333,6.110101,13,13,7.000000,6.608571,1.587143,3.911429,2.465714,6.182857,2.141429,7.000000,0.707286,0.443571,0.527857,0.707286,0.194960,0.443571,0.094005,0.527857,0.137921,1.000000,0.000000,0.000000,0.000000,0.544000,0.000000,0.000000,0.000000,0.544000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,15.000000,0.592333,0.800795,0.592333,7.000000,6.608571,3.911429,6.182857,6.608571,1.035108,3.911429,0.911143,6.182857,0.523727,1.000000,1.000000,0.000000,0.000000,1.541257,1.704165,
1401,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.940918,2.755091,
1389,5.000000,2755.000000,551.000000,731.255427,462,1662,271.000000,5.873009,1.710216,4.123030,2.348864,5.613442,2.198214,303.000000,0.624532,0.486012,0.544064,0.636452,0.189514,0.462370,0.169952,0.535459,0.167788,87.000000,0.559035,0.358467,0.309192,0.565018,0.104475,0.035259,0.052715,0.307518,254.000000,0.125000,0.131443,0.117268,0.047680,0.274485,0.128866,0.055412,0.030928,0.015464,635.000000,0.336304,1.106115,0.334757,271.000000,5.873009,4.123030,5.613442,5.926937,1.086213,4.050959,0.839265,5.664133,0.868171,89.000000,0.513725,0.254902,0.231373,1.178325,-0.061207,
2256,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.815393,0.662457,
2245,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.056572,0.736206,
2851,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.771521,-1.282678,
1127,7.000000,1253.000000,179.000000,268.982651,272,755,178.000000,6.219505,1.652086,4.204000,2.408968,5.814409,2.159247,190.000000,0.680875,0.463998,0.570002,0.669763,0.185453,0.460258,0.175440,0.567063,0.162250,47.000000,0.344500,0.740250,0.285400,0.461657,0.026000,0.055868,0.053849,0.304868,125.000000,0.134058,0.119565,0.134058,0.054348,0.351449,0.061594,0.065217,0.028986,0.021739,378.000000,0.381931,1.325497,0.499417,178.000000,6.219505,4.204000,5.814409,6.085112,1.099036,4.113596,0.835463,5.785000,0.833201,51.000000,0.615385,0.128205,0.256410,0.373325,-0.923151,
290,33.000000,1697.000000,51.424242,152.061466,585,1094,364.000000,6.069279,1.674338,4.167544,2.389412,5.761044,2.141368,398.000000,0.653451,0.462293,0.557231,0.640214,0.196028,0.463548,0.166912,0.559206,0.166693,103.000000,0.537062,0.453308,0.178892,0.526299,0.049671,0.034064,0.038260,0.325514,289.000000,0.160870,0.119565,0.115217,0.043478,0.306522,0.095652,0.078261,0.023913,0.021739,857.000000,0.418406,1.249937,0.507629,364.000000,6.069279,4.167544,5.761044,5.882363,1.130658,4.116786,0.903771,5.707802,0.851604,129.000000,0.571429,0.299107,0.129464,0.135009,-0.047379,
1092,1.000000,1.000000,1.000000,0.000000,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.032000,nan,-0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.541257,1.704165,
2081,1.000000,439.000000,439.000000,0.000000,169,271,82.000000,6.113740,1.726489,4.367176,2.435496,5.780458,2.188855,85.000000,0.645000,0.480119,0.531179,0.612506,0.210612,0.469953,0.179079,0.531565,0.163303,20.000000,0.609500,0.647000,0.351667,0.397444,0.031256,0.066359,0.054103,0.275154,45.000000,0.132075,0.056604,0.056604,0.094340,0.339623,0.113208,0.094340,0.075472,0.000000,225.000000,0.347222,1.241111,0.637995,82.000000,6.113740,4.367176,5.780458,5.873049,1.246101,4.285366,0.867467,5.704146,0.856353,19.000000,0.781250,0.062500,0.156250,0.815393,0.662457,
3280,15.000000,472.000000,31.466667,30.284052,168,228,118.000000,5.995987,1.615414,4.108790,2.375478,5.795732,2.078535,126.000000,0.633329,0.441485,0.518509,0.619198,0.210642,0.441524,0.154018,0.521976,0.183133,32.000000,0.254167,0.394750,0.374700,0.477333,0.037195,0.038512,0.091390,0.244488,90.000000,0.141593,0.176991,0.115044,0.053097,0.212389,0.088496,0.079646,0.035398,0.044248,270.000000,0.214426,1.448545,0.287888,118.000000,5.995987,4.108790,5.795732,5.842288,1.257432,4.130339,0.870183,5.792542,0.891772,59.000000,0.512821,0.269231,0.217949,-1.094776,-0.274772,
93,12.000000,282.000000,23.500000,18.836618,141,213,71.000000,5.881630,1.677935,4.322283,2.400978,5.766304,2.182717,75.000000,0.617708,0.472958,0.542219,0.621587,0.190284,0.479040,0.188920,0.548493,0.151761,25.000000,0.362833,0.542600,0.274750,0.402000,0.058838,0.146649,0.059405,0.141243,55.000000,0.103896,0.090909,0.103896,0.051948,0.233766,0.103896,0.103896,0.116883,0.012987,188.000000,0.226011,0.990701,0.241989,71.000000,5.881630,4.322283,5.766304,5.802254,1.245444,4.308169,1.012887,5.711690,0.834192,29.000000,0.500000,0.235294,0.264706,1.178325,1.183311,
